que,ans,index,my_pick,animal,king,eng,plant,food,english,religion
도둑이 싫어하는 과자는?,누네띠네,110,,,,,,,,
미국에서 비가 내리면?,USB,111,,,,,,,,
왕이 담배를 피우면?,스모킹,112,,,1,,,,,
일본에 사냐?를 다른 말로?,왜사니?,113,,,,,,,,
이순신 장군이 일본에 선전포고를 했을 때 했던 말은?,왜 로 워,114,,,,,,,,
배트맨의 국적은?,일본(브루스 왜인),115,,,,,,,,
토끼가 사용하는 빗은?,래빗,116,,1,,,,,1,
세상에서 가장 얇은 바위는?,머리카락(rock),117,,,,,,,,
뚱뚱한 사람들이 모여있는 동네는?,개포동,118,,,,,,,,
덜 뚱뚱한 사람들이 모여있는 동네는?,반포동,119,,,,,,,,
돌잔치를 영어로 하면?,락페스티벌,120,,,,,,,,
우주인들이 술 마시는 곳은?,스페이스바,121,,,,,,,,
오리를 생으로 먹으면?,회오리,122,,1,,,,,,
플러스와 마이너스가 싸우면 누가 이김?,플러스가 덧셈,123,,,,1,,,,
과자가 감옥에서 출소 후 자기소개를 하면?,전과자,124,,,,,,,,
콩 한 알을 영어로 하면?,원빈,125,,,,,,,,
매일 미안한 동물은?,오소리,126,,1,,,,,,
세상에서 가장 쉬운 숫자는?,"190,000",127,,,,1,,,,
용이 하늘로 올라간다'를 4자로?,올라가용,128,,,,,,,,
11월에 뱀과 벌이 없는 이유는?,노뱀벌(November),129,1,1,,,,,1,
세상에서 가장 못생긴 새는?,니 생김새,130,,,,,,,,
우리나라에서 가장 화나 있는 도시는?,성남,131,,,,,,,,
신을 낳은 아기는?,갓난 아기,132,,,,,,,,
네이마르가 헤딩골을 넣고 자신의 머리를 가리키면서 한 말은?,내 이마로,133,,,,,,,,
나방을 영어로 못 쓰는 이유는?,Moth니까,134,,1,,,,,1,
여왕이 빨리 오면?,어여왕,135,,,,,,,,
왕이 넘어지면?,킹콩,136,,,1,,,,,
공이 웃으면?,풋볼,137,,,,,,,,
딸기가 회사에서 잘리면?,딸기시럽,138,,,,,,1,,
우리나라에서 바람이 귀엽게 부는 곳은?,분당,139,,,,,,,,
자가용의 반대말은?,커용,140,,,,,,,,
할아버지가 제일 좋아하는 돈은?,할머니,141,,,,,,,,
강남이 멋있는 이유는?,간지남(Gan G Nam​),142,1,,,,,,1,
가장 날씬한 왕은?,thinking,143,,,1,,,,1,
게를 냉동실에 넣으면?,게으름,144,,,,,,1,,
차 안에서 시작된 문명은?,잉카(in car) 문명,145,,,,,,,1,
시어머니와 며느리가 사업하면 돈이 되는 이유는?,고부가가치사업이라서,146,,,,,,,,
차 문을 세게 닫으면 안 되는 이유는?,문이 네 개니깐,147,,,,,,,,
싸움을 가장 잘 하는 오리는?,을지문덕,148,,1,,,,,,
다이어트하는 사람이 여름을 싫어하는 이유는?,비 많이 와서,149,,,,,,,,
절에서 뼈가 부러지면?,절뚝,150,,,,,,,,1
몸에서 금속이 가장 많은 곳은?,옆구리,151,,,,,,,,
일본 프랑스 러시아를 합쳐서 부르면?,왜 불러,152,,,,,,,,
사람을 웃기기도 하고 울리기도 하는 닭은?,코스닥,153,,,,,,,,
빵 가게 주인이 유머를 싫어하는 이유는?,빵 터져서,154,,,,,,,,
소리 없이 글을 쓰는 사람은?,조용필,155,,,,,,,,
귤이 감을 보고 영어로 뭐라고 했을까?,you 감,156,,,,,,1,,
돼지가 방귀 뀌는 것은?,돈가스,157,,1,,,,1,,
소가 계단에 올라가는 것을 3자로?,소오름,158,,1,,,,,,
강아지가 한 마리만 있는 나라?,독(dog)일,159,,1,,,,,1,
사람들이 그늘에 있으면 행복한 이유는?,해피(happy)해서,160,1,,,,,,1,
정삼각형의 동생 이름은?,정삼각,161,,,,,,,,
아플 때 가는 여행지는?,다낭,162,,,,,,,,
빛과 소리 중 뭐가 더 게으를까?,빛은 매질이 없어도 잘 가지만 소리는 매질이 있어야 감,163,1,,,1,,,,
책이 찢어지면?,책임져(책 injure),164,,,,,,,1,
동전을 주다를 수학적으로 나타나면?,5%(offer cent),165,,,,,,,1,
자동차의 나라를 영어로?,카네이션,166,,,,,,,,
바닷속에 있는 쇠가 녹이 잘 스는 이유는?,파도가 철썩여서,167,,,,1,,,,
벌을 잡았다 어디서 잡았을까?,갯벌(get 벌),168,,,,,,,1,
아이를 셋 낳을 계획을 세우면?,미래에셋,169,,,,,,,,
소고기를 안 넣고 끓인 국은?,소고기 무국,170,,,,,,1,,
유럽인의 식사를 뭐라고 할까?,이유식,171,,,,,,,,
모래사장에 사는 마녀를 뭐라 부를까?,샌드위치,172,,,,,,1,,
경상도 쥐가 개그를 쳤는데 아무 반응이 없을 때 하는 말은?,마! 우스라고,173,,1,,,,,,
베를린에서 음식을 함부로 먹으면 안 되는 이유는?,독일 수도,174,,,,,,,,
엄마와 아들이 같이 택견을 하면?,모자이크,175,,,,,,,,
기생충이 목마를 때 하는 말?,숙주 나 물,176,,,,,1,,,
탐관오리가 가장 좋아하는 마술은?,매관매직,177,,,,,,,,
왕이 길 가다가 노래를 부르면?,버스킹,178,,,1,,,,,
왕이 가진 공은?,짐볼,179,,,1,,,,,
거북이가 소개팅을 하면?,거북선,180,,1,,,,,,
헬스하는 사람이 멋진 이유는?,머슬(mussle) 아는 사람이기 때문,181,1,,,,,,1,
타짜의 아귀가 사는 동네는?,동작구만,182,,,,,,,,
돼지가 헷갈리면?,혼돈,183,,1,,,,,,
마블 히어로 중에 가장 잘생긴 히어로는?,앤트맨(개미남),184,,,,,,,,
가장 비싼 아기는?,발렌시아가,185,,,,,,,,
고시생들이 가장 많이 찾는 청바지는?,노량진,186,,,,,,,,
노래 시작하기 전에 방문하는 도시는?,전주,187,,,,,,,,
형 이 씨 좀 불러줘를 영어로 하면?,브로 콜 리,188,,,,,,,,
여기서 장미를 키웁니다를 6자로?,키움 Here Rose,189,,,,,,,1,
왕이 오른쪽으로 갔다가 왼쪽으로 갔다고 하면?,우왕좌왕,190,,,1,,,,,
왕이 요리를 하면?,쿠킹,191,,,1,,,,,
곰돌이 푸가 차에 치이면?,카푸치노,192,,,,,,,,
앉아서 절하면?,좌절,193,,,,,,,,
어머니가 한 명인데 아버지가 둘인 것은?,두부한모,194,,,,,,,,
팥이 목마를 때 콩에 하는 말은?,콩 나 물,195,,,,,,,,
버스에서 절대 자리 양보를 안 하는 사람은?,버스기사,196,,,,,,,,
신문이 일하러 가면?,일간신문,197,,,,,,,,
나문희가 엘리베이터를 타면 안 되는 이유는?,문희 다칩니다,198,,,,,,,,
통키가 담배 피우려고 할 때 친구가 하는 말은?,피구왕 통키,199,,,,,,,,
자꾸 네가 누군지 묻는 병은?,후유증,200,,,,,,,,
고양이를 물로 만들면?,물로켓,201,,1,,,,,,
징을 놀랍도록 세게 치면?,어메이징,202,,,,,,,1,
아무도 살지 않는 동네는?,노원동,203,,,,,,,1,
왕이 걷는 것은?,워킹,204,,,1,,,,,
인사성이 밝은 밥은?,하이라이스,205,,,,,,,1,
무가 버스 탈 때 돈 안내면서 하는 말?,저 무임 승차할게요,206,,,,,1,,,
악기 중에 절반만 연주되는 악기는?,하프,207,,,,,,,,
"1, 2, 3위보다 4위를 좋아하는 사람은?",장모,208,,,,,,,,
생강에 발모제를 바르면?,진절머리나,209,,,,,,,,
경상도 사람들이 가장 좋아하는 섬은?,보라카이,210,,,,,,,,
프랑스 사람들이 빨래를 말릴 때 하는 말?,마르세유,211,,,,,,,,
이세돌 선수 자녀의 돌잔치를 6자로?,이세돌 이세 돌,212,,,,,,,,
남자가 활을 사면?,가위(guy) 바이(buy) 보(bow),213,,,,,,,1,
비 오는 날 먹는 햄은?,습햄,214,,,,,,1,,
부엉이가 물에 빠지면?,첨부엉 첨부엉,215,,1,,,,,,
어벤저스는 어떤 펜을 쓸까?,블랙펜서,216,,,,,,,,
우리나라 군대가 어디에 있지?,군데군데,217,,,,,,,,
책 찢으면 나는 소리는?,북북,218,,,,,,,1,
말이 쇼핑하는데 마음에 들지 않을 때 내는 소리는?,다그닥,219,,,,,,,,
곰돌이 푸가 닭을 타면?,푸 라이드 치킨,220,,,,,,,1,
추운 날씨에 호날두가 하는 말은?,호 날두 춥네,221,1,,,,,,,
트랜스포머가 여자친구가 없는 이유?,차여서,222,,,,,,,,
저팔계가 정육점에 가서 한 말은?,저 팔게요?,223,,,,,,,,
어린이가 제일 좋아하는 기름은?,5월 오일,224,,,,,,,,
다리미가 좋아하는 음식은?,피자,225,,,,,,1,,
쥐를 피하면서 하는 말은?,GPS,226,,1,,,,,,
끝이 없이 나오는 구이는?,3.1415구이,227,,,,1,,1,,
벌이 얼어서 죽으면?,Be 동사,228,,1,,,,,,
세상에서 가장 따뜻한 라면은?,너와 함께라면,229,,,,,,,,
나의 시험 성적을 알려 주지 않는 이유는?,내성적이어서,230,,,,,,,,
가장 명중률이 낮은 무기는?,섬광탄(빛 나가니깐),231,,,,,,,,
투수들이 키보드를 못 치는 이유는?,투수는 타자 연습 안하니까,232,,,,,,,,
"할머니, 할아버지가 자존감이 높은 이유는?",자기애가 커서,233,,,,,,,,
자동차에서 제일 시원한 자리는?,가운데(차 가운데라서),234,,,,,,,,
미국 이민자들이 좋아하는 생선국은?,가자미국,235,,,,,,1,,
과거 프랑스에 사형수가 넘쳤던 이유는?,사형 도구가 단 두대 밖에 없기 때문,236,,,,,,,,
도가 크면?,도 라지,237,,,,,1,,1,
세상에서 가장 안전한 감옥은?,안전제일,238,,,,,,,,
시험 치다 두 손 두 발 다든 이유는?,사지선다라서,239,,,,,,,,
토끼가 강한 이유는?,깡과 총이 있어서,240,,1,,,,,,
흡혈귀들이 식탁에서 웃음이 끊이질 않는 이유는?,피 식(食) 하기 때문,241,,,,,,,,
마블보다 4배 큰 국내 기업은?,넷마블,242,,,,,,,,
녹색의 색은?,갈색,243,,,,,,,,
어떤 혈액형의 경찰관이 제일 많을까?,B형~ B형~,244,,,,,,,,
송아지가 미국에 가면 온순해지는 이유는?,아 지송,245,,1,,,,,,
오리가 옳다고 인정하면?,덕수긍,246,,1,,,,,,
차 열쇠 색깔은?,카키색,247,,,,,,,,
유모차 타면 긴장되는 이유는?,애가 타서,248,,,,,,,,
미국과 러시아가 싸우면 승패를 가늠할 수 없는 이유는?,미러(mirror) 전이기 때문,249,,,,,,,,
시험 끝나고 반 친구들끼리 회식하는 곤충은?,반뒤풀이,250,,1,,,,,,
김구는 소를 몇 마리 기를까?,나의 소one,251,,,,,,,1,
나방의 어머니뻘 되는 동물은?,맘모스(mom moth),252,,1,,,,,1,
레이저 총이 안 맞는 이유는?,빛나가서,253,,,,,,,,
투명인간은 몇 명이나 있을까?,2명(two명 인간이라서),254,,,,,,,1,
고양이를 정말 좋아하는 종교는?,가톨릭(Cat holic),255,1,1,,,,,1,1
가을비가 오면 추워지는 이유는?,秋雨니까,256,1,,,,,,,
한양을 영어로 하면?,Yes sir(옛 서울),257,,,,,,,1,
앉으면 졸린 이유는?,안자서,258,,,,,,,,
여동생이 시집가면 언니가 무서워하는 이유는?,처형 되니까,259,,,,,,,,
내과의사가 퇴근하는 시간은?,내시경,260,,,,,,,,
김구가 50만 원을 투자했는데 200% 수익을 내면?,백범 김구,261,,,,,,,,
동생 생각만 나면 우는 동물은?,늑대(아우!),262,,,,,,,,
설거지할 때 그릇을 돌리면서 씻으면?,워싱 턴 디쉬,263,,,,,,,,
인어 공주의 성씨는?,완도도씨 🎶,264,1,,,,,,,
부르기 나쁜 나라는?,부르기나파소,265,,,,,,,,
세상에서 가장 잘 속는 조미료는?,소금,266,,,,,,,,
세상에서 가장 부정적인 동물은?,말(다그닥 다그닥 하면서 지나감),267,,1,,,,,,
닭에게 사이즈가 작은 옷을 입히면?,꼭끼오,268,,1,,,,,,
뒤로 달렸을 때 가장 빠른 동물은?,하마(거꾸로 하면 마하),269,,1,,,,,,
식물의 이빨이 딱딱한 이유는?,임플란트(I'm plant),270,,,,,1,,1,
감옥을 돌로 지으면 안 되는 이유는?,석방되니까,271,,,,,,,,
U턴을 완벽하게 하는 사람은?,클린턴,272,,,,,,,,
길 가다 나무를 주우면?,우드득,273,,,,,1,,,
숫자 5가 싫어하는 집은?,오페라하우스,274,,,,,,,,
엄마들이 아침마다 말하는 나라는?,일어나라,275,,,,,,,,
세상에서 가장 예쁜 식물은?,뷰티풀,276,,,,,1,,,
세상에서 가장 웃긴 글은?,싱글벙글,277,,,,,,,,
나무들이 나오는 드라마는?,수목드라마,278,,,,,,,,
향긋한 냄새가 좋은 이유는?,향good하니까,279,,,,,,,1,
구두쇠가 가장 좋아하는 색은?,인색,280,,,,,,,,
푸틴이 15살 때를 세글자로?,피푸틴,281,,,,,,,,
헤어숍에서 키우는 개는?,미용도구(dog),282,,1,,,,,,
약을 누르면?,약꾹,283,,,,,,,,
키보드가 일본 제품인 이유는?,키보드는 자판(Japan)이니까,284,,,,,,,1,
오래된 물을 마시면 안 되는 이유는?,수상해서,285,,,,,,,,
자동차가 길을 못 찾을 때 하는 말은?,A! Udi?,286,,,,,,,1,
여장남자 콘테스트의 참여자는 총 몇 명?,0명(참여자가 아닌 거짓여자이기 떄문에),287,,,,,,,,
물리학자가 웃을 때 내는 소리는?,physic,288,,,,1,,,1,
못이 망치에 아무리 맞아도 피가 안나는 이유는?,모세혈관이 없어서,289,,,,1,,,,
토박이 한국인들이 개그를 잘 못 치는 이유는?,재일 재미가 없어서,290,,,,,,,,
돌하르방이 서커스단 보고 하는 말은?,제주도 좋다.,291,1,,,,,,,
내가 인절미 좋아한다고 말하니 미국인 친구가 흉기를 꺼낸 이유는?,Injure me,292,,,,,,,1,
쓰 가운데가 분홍색이면?,스핑크스,293,,,,,,,,
이성계가 미국 해군을 만나고 나서 들은 이야기는?,we are the haegun,294,,,,,,,1,
수학자가 좋아하는 보석은?,4πr,295,,,,1,,,,
문과생이 수학문제 풀다 군대 간 이유는?,대입을 거꾸로 함,296,,,,1,,,,
용궁 음악회에서 토끼를 초빙하는 이유는?,간주는 토끼가 필요해서,297,1,,,,,,,
소녀가 강가로 여행 가면?,걸리버여행기,298,,,,,,,,
수리 기사 만족도는 ABCD 중에 어디에 쓸까?,AS세요,299,,,,,,,,
거울을 AS 하면 기분이 좋은 이유는?,ASSA,300,,,,,,,,
멍청한 옥수수를 영어로?,실리콘,301,,,,,,,,
어지러움이 죽음 직전의 증세인 이유는?,dizzy니까,302,,,,,,,1,
지브리 스튜디오가 돈 버는 방법은?,토토로,303,,,,,,,,
세상에서 제일 똑똑한 새는?,하버드,304,,1,,,,,,
북한에서 공을 살 때 하는 말?,공산당,305,,,,,,,,
남자아이들끼리 낚시를 가면?,보이스 피싱,306,,,,,,,,
마음을 전하고 싶다면 포카리 스웨트를 주는 이유는?,전해질' 음료니까,307,1,,,1,,1,,
유럽 입자 물리 연구소에서 거짓말하면 안 되는 이유는?,입자가 속기 때문에,308,1,,,1,,,,
경북 성주가 쓸쓸한 지역인 이유는?,참외딴곳이라서,309,,,,,1,,,
양고기가 비싼 이유는?,양도 소득세를 내야하기 때문,310,,,,,,,,
야구 방망이가 부러졌을 때 하는 외국어는?,베트남어?,311,,,,,,,,
Facebook 직원들이 연봉 얼마나 받을까?,페이 수북,312,,,,,,,,
남쪽 성벽에서 일어난 전투를 3자로?,월남쌈,313,,,,,,,,
세상에서 가장 잘 먹는 심리학자는?,프로이트,314,,,,,,,,
가장 많이 보이는 색깔은?,자주색,315,,,,,,,,
드라큘라가 힘들 때 하는 것은?,피로회복,316,,,,,,,,
소년원을 4자로?,Bully수거,317,1,,,,,,1,
싼 물건이 비지떡이라 걱정되는 마음은?,Cheap cheap 한 마음,318,1,,,,,,1,
문과만 사는 도시는?,수1,319,,,,,,,,
짱구집 가전제품이 다 새 것인 이유는?,신형만 있어서,320,1,,,,,,,
사람이 죽지 않는 산맥은?,안데스산맥,321,,,,,,,,
어떤 내기에도 져본 적이 없는 과학자는?,다윈,322,,,,,,,,
컴퓨터가 고장 났을 때 읊는 시는?,오륜가,323,,,,,,,,
꽃이 병원에 가는 이유는?,수술이 있어서,324,,,,1,1,,,
그물낚시를 하면 물고기가 안 잡히는 이유는?,망쳤기 때문,325,,,,,,,,
주먹이 작은 애들이 현명한 이유는?,소(小)피스트(fist),326,,,,,,,,
정찰대가 생선 장수들로만 구성되어 있는 이유는?,적의 동태를 살피기 위해,327,,,,,,,,
머리가 작은 사람이 공감을 잘 하는 이유는?,so do i이므로,328,,,,,,,1,
직업 탐색가들이 똑똑한 이유는?,잡지식이 많아서,329,,,,,,,,
대전에서 응급상황이 발생하면?,이'머전'씨,330,,,,,,,1,
발렌타인데이에 자기가 직접 초콜릿 사면?,발렌본인데이,331,,,,,,,,
공이 너무 많아서 남아도는 나라는?,남아공,332,,,,,,,,
수필이 있는 나라는?,미국 (USA 有에쎄이),333,,,,,,,,
선택을 하지 않는 나라는?,앙골라,334,,,,,,,,
기차가 대구역에 정차했을 때 할 수 있는 개그는?,"내려도 대구, 안내려도 대구",335,,,,,,,,
푸우가 옥수수밭에서 길을 잃은 것을 5자로?,콘푸로스트,336,,,,,,1,,
고구려에 야근수당이 없던 이유는?,"고구려는 약은 수, 당을 싫어했기 때문",337,,,,,,,,
소를 수출할 때 꼭 필요한 것은?,소비자,338,,1,,,,,,
몽골인이 집이 마음에 들 때 하는 말은?,게르만족,339,,,,,,,,
부처님이 일어서면서 하는 말은?,선불입니다,340,,,,,,,,1
미국 깡패는?,양갱,341,,,,,,,,
스모 챔피언이 들어갈 수 없는 장소는?,금연 구역(No smoking zone),342,,,,,,,1,
감옥에서 먹는 차는?,옥의 티,343,,,,,,,,
가장 이기적인 사람들이 종사하는 직업은?,생선장수(sell fish),344,,,,,,,1,
자꾸만 밖으로 나오라는 동네는?,오키(ㅇㅋ)나와,345,,,,,,,,
입방아를 찧어 만든 떡은?,쑥떡쑥떡,346,,,,,,,,
넋이 나가 있는 벌레는?,헤벌레,347,,,,,,,,
물에 빠지면 제일 처음 만나는 적은?,허우적,348,,,,,,,,
세상에서 가장 옷을 잘 입는 왕은?,마네킹,349,,,1,,,,,
줄무늬가 알파벳 L처럼 생긴 호랑이는?,앨범,350,,,,,,,,
용이 깜짝 놀라면?,띠용,351,,,,,,,,
북한의 조폭은?,어깨동무,352,,,,,,,,
원숭이를 불에 구우면?,구운몽,353,,,,,,,,
세상에서 가장 쓸데없는 이론은?,내가알기론,354,,,,,,,,
소와 씨름하는 사람은?,소매치기,355,,,,,,,,
두 나라 언어로 이름을 지은 소는?,안녕하이소,356,,,,,,,,
우리나라에서 가장 비싸게 팔리는 참치의 가격은?,사조(참치),357,,,,,,,,
수상한 사람이 많은 곳은?,시상식,358,,,,,,,,
따뜻하게 감싸주면 절대 안 되는 사람?,눈사람,359,,,,,,,,
있을 수도 없을 수도 있는 섬은?,아마도,360,,,,,,,,
I love you long의 뜻은?,나는 당신을 사랑하지롱,361,,,,,,,1,
길에 넘어지는 걸 영어로 하면?,다운로드,362,,,,,,,,
12356789를 4자로?,사도세자,363,,,,,,,,
가까우면서도 서로 못 보는 것은?,눈,364,,,,,,,,
길에서 인기 많은 성은?,택씨,365,,,,,,,,
눈 하나로 일하는 것은?,바늘,366,,,,,,,,
다섯은 당기고 다섯은 들어가는 것은?,장갑,367,,,,,,,,
먹고살기 위해 하는 내기는?,모내기,368,,,,,,,,
김태희를 오페라로 만들면?,나 비 부인,369,,,,,,,,
묵이 죄를 지으면?,무기징역,370,,,,,,,,
가벼운 뒷담화를 3자로?,경험담,371,,,,,,,,
사장이 아르바이트 지원자를 면접에서 탈락시키고 문자 안주는 이유는?,내 알바 아니라서,372,,,,,,,,
일부러 물건을 떨어뜨리면?,자의로 드롭,373,,,,,,,,
구토를 했을 때 그 용량은 얼마?,5 Byte,374,,,,1,,,,
이슬람교에서 바라보는 관점은?,알라뷰,375,,,,,,,,
화를 제일 잘 내는 숫자는?,에잇,376,,,,,,,,
이집트 사람이 일하러 갈 때 하는 말은?,나일강,377,,,,,,,,
왕 위에 누우면?,라이 온 킹,378,,,1,,,,,
아플 때 땀이 나는 이유는?,Sick=땀,379,,,,,,,1,
